job_id	written	fraction	resolved
1084131516357246977	2025-07-21 11:31:47.493971+00	0	NULL
1084131516357246977	2025-07-21 11:31:17.47829+00	0	NULL
1084131516357246977	2025-07-21 11:30:47.475729+00	0	NULL
1084131516357246977	2025-07-21 11:30:17.474412+00	0	NULL
1084131516357246977	2025-07-21 11:29:47.47253+00	0	NULL
1084131516357246977	2025-07-21 11:29:17.472167+00	0	NULL
1084131516357246977	2025-07-21 11:28:47.473454+00	0	NULL
1084131516357246977	2025-07-21 11:28:17.472506+00	0	NULL
1084131516357246977	2025-07-21 11:27:47.469076+00	0	NULL
1084131516357246977	2025-07-21 11:27:17.463558+00	0	NULL
1084131516357246977	2025-07-21 11:26:47.459519+00	0	NULL
1084131516357246977	2025-07-21 11:26:17.453671+00	0	NULL
1084131516357246977	2025-07-21 11:25:47.450758+00	0	NULL
1084131516357246977	2025-07-21 11:25:17.435071+00	0	NULL
1084131516357246977	2025-07-21 11:24:47.432099+00	0	NULL
1084131516357246977	2025-07-21 11:24:17.430883+00	0	NULL
1084131516357246977	2025-07-21 11:23:47.4293+00	0	NULL
1084131516357246977	2025-07-21 11:23:17.427906+00	0	NULL
1084131516357246977	2025-07-21 11:23:11.487342+00	0	NULL
1084131516357246977	2025-07-21 11:22:47.426601+00	0	NULL
1084131516357246977	2025-07-21 11:22:17.423981+00	0	NULL
1084131516357246977	2025-07-21 11:21:44.467562+00	0	NULL
1084131516357246977	2025-07-21 11:21:17.416711+00	0	NULL
1084131516357246977	2025-07-21 11:20:47.414908+00	0	NULL
1084131516357246977	2025-07-21 11:20:17.411222+00	0	NULL
1084131516357246977	2025-07-21 11:19:47.409247+00	0	NULL
1084131516357246977	2025-07-21 11:19:17.405056+00	0	NULL
1084131516357246977	2025-07-21 11:18:47.40009+00	0	NULL
1084131516357246977	2025-07-21 11:18:17.397882+00	0	NULL
1084131516357246977	2025-07-21 11:17:47.39352+00	0	NULL
1084131516357246977	2025-07-21 11:17:17.387609+00	0	NULL
1084131516357246977	2025-07-21 11:16:47.385565+00	0	NULL
1084131516357246977	2025-07-21 11:16:17.380173+00	0	NULL
1084131516357246977	2025-07-21 11:15:47.372145+00	0	NULL
1084131516357246977	2025-07-21 11:15:17.366772+00	0	NULL
1084131516357246977	2025-07-21 11:14:47.360809+00	0	NULL
1084131516357246977	2025-07-21 11:14:17.352223+00	0	NULL
1084131516357246977	2025-07-21 11:13:47.337435+00	0	NULL
1084131516357246977	2025-07-21 11:13:17.33538+00	0	NULL
1084131516357246977	2025-07-21 11:12:47.331012+00	0	NULL
1084131516357246977	2025-07-21 11:12:17.32365+00	0	NULL
1084131516357246977	2025-07-21 11:11:47.31919+00	0	NULL
1084131516357246977	2025-07-21 11:11:17.31773+00	0	NULL
1084131516357246977	2025-07-21 11:10:47.316179+00	0	NULL
1084131516357246977	2025-07-21 11:10:17.31334+00	0	NULL
1084131516357246977	2025-07-21 11:09:47.310888+00	0	NULL
1084131516357246977	2025-07-21 11:09:17.307602+00	0	NULL
1084131516357246977	2025-07-21 11:08:47.305927+00	0	NULL
1084131516357246977	2025-07-21 11:08:17.304832+00	0	NULL
1084131516357246977	2025-07-21 11:07:47.302817+00	0	NULL
1084131516357246977	2025-07-21 11:07:17.300904+00	0	NULL
1084131516357246977	2025-07-21 11:06:47.296605+00	0	NULL
1084131516357246977	2025-07-21 11:06:17.295357+00	0	NULL
1084131516357246977	2025-07-21 11:05:47.293542+00	0	NULL
1084131516357246977	2025-07-21 11:05:17.292922+00	0	NULL
1084131516357246977	2025-07-21 11:04:47.283802+00	0	NULL
1084131516357246977	2025-07-21 11:04:17.279351+00	0	NULL
1084131516357246977	2025-07-21 11:03:47.272213+00	0	NULL
