table_name	aggregated_ts	row_count
system.transaction_statistics	2025-07-21 10:00:00+00	56
system.transaction_statistics	2025-07-21 09:00:00+00	61
system.transaction_statistics	2025-07-21 08:00:00+00	32
system.transaction_statistics	2025-07-21 07:00:00+00	202
system.transaction_statistics	2025-07-21 06:00:00+00	223
system.transaction_statistics	2025-07-21 05:00:00+00	31
system.transaction_statistics	2025-07-21 04:00:00+00	18
system.transaction_statistics	2025-07-21 01:00:00+00	20
system.transaction_statistics	2025-07-20 10:00:00+00	21
system.transaction_statistics	2025-07-19 16:00:00+00	20
system.transaction_statistics	2025-07-18 21:00:00+00	157
system.transaction_statistics	2025-07-18 12:00:00+00	147
system.transaction_statistics	2025-07-18 11:00:00+00	198
system.transaction_statistics	2025-07-18 10:00:00+00	205
system.transaction_statistics	2025-07-18 09:00:00+00	196
system.transaction_statistics	2025-07-18 08:00:00+00	27
system.transaction_statistics	2025-07-18 07:00:00+00	32
system.transaction_statistics	2025-07-18 06:00:00+00	179
system.transaction_statistics	2025-07-18 05:00:00+00	28
system.transaction_statistics	2025-07-18 04:00:00+00	20
system.transaction_statistics	2025-07-17 11:00:00+00	202
system.transaction_statistics	2025-07-17 10:00:00+00	217
system.transaction_statistics	2025-07-17 09:00:00+00	18
system.transaction_statistics	2025-07-17 08:00:00+00	28
system.transaction_statistics	2025-07-17 07:00:00+00	206
system.transaction_statistics	2025-07-17 06:00:00+00	200
system.transaction_statistics	2025-07-17 05:00:00+00	210
system.transaction_statistics	2025-07-17 04:00:00+00	28
system.transaction_statistics	2025-07-16 20:00:00+00	18
system.transaction_statistics	2025-07-16 13:00:00+00	62
system.transaction_statistics	2025-07-16 12:00:00+00	161
system.transaction_statistics	2025-07-16 11:00:00+00	162
system.transaction_statistics	2025-07-16 10:00:00+00	43
system.transaction_statistics	2025-07-16 09:00:00+00	246
system.transaction_statistics	2025-07-16 08:00:00+00	258
system.transaction_statistics	2025-07-16 07:00:00+00	212
system.transaction_statistics	2025-07-16 06:00:00+00	59
system.transaction_statistics	2025-07-16 05:00:00+00	24
system.transaction_statistics	2025-07-16 04:00:00+00	26
system.transaction_statistics	2025-07-15 15:00:00+00	21
system.transaction_statistics	2025-07-15 10:00:00+00	30
system.transaction_statistics	2025-07-15 09:00:00+00	182
system.transaction_statistics	2025-07-15 08:00:00+00	191
system.transaction_statistics	2025-07-15 07:00:00+00	189
system.transaction_statistics	2025-07-15 06:00:00+00	195
system.transaction_statistics	2025-07-15 05:00:00+00	26
system.transaction_statistics	2025-07-15 04:00:00+00	21
system.transaction_statistics	2025-07-14 18:00:00+00	17
system.transaction_statistics	2025-07-14 13:00:00+00	23
system.transaction_statistics	2025-07-14 12:00:00+00	27
system.transaction_statistics	2025-07-14 11:00:00+00	30
system.transaction_statistics	2025-07-14 10:00:00+00	32
system.transaction_statistics	2025-07-14 09:00:00+00	264
system.transaction_statistics	2025-07-14 08:00:00+00	177
system.transaction_statistics	2025-07-14 07:00:00+00	177
system.transaction_statistics	2025-07-14 06:00:00+00	27
system.transaction_statistics	2025-07-14 05:00:00+00	25
system.transaction_statistics	2025-07-14 04:00:00+00	25
system.transaction_statistics	2025-07-14 03:00:00+00	19
system.transaction_statistics	2025-07-13 18:00:00+00	10
system.transaction_statistics	2025-07-13 08:00:00+00	11
system.transaction_statistics	2025-07-12 23:00:00+00	15
system.transaction_statistics	2025-07-12 13:00:00+00	13
system.transaction_statistics	2025-07-12 12:00:00+00	15
system.transaction_statistics	2025-07-12 09:00:00+00	21
system.transaction_statistics	2025-07-12 08:00:00+00	22
system.transaction_statistics	2025-07-11 18:00:00+00	18
system.transaction_statistics	2025-07-11 14:00:00+00	19
system.transaction_statistics	2025-07-11 13:00:00+00	25
system.transaction_statistics	2025-07-11 12:00:00+00	26
system.transaction_statistics	2025-07-11 11:00:00+00	25
system.transaction_statistics	2025-07-11 10:00:00+00	24
system.transaction_statistics	2025-07-11 09:00:00+00	26
system.transaction_statistics	2025-07-11 08:00:00+00	29
system.transaction_statistics	2025-07-11 07:00:00+00	28
system.transaction_statistics	2025-07-11 06:00:00+00	18
system.transaction_statistics	2025-07-11 05:00:00+00	30
system.transaction_statistics	2025-07-11 02:00:00+00	19
system.transaction_statistics	2025-07-10 11:00:00+00	25
