timestamp	rangeID	storeID	eventType	otherRangeID	info	uniqueID
2025-06-27 10:53:34.654626	80	1	split	81	"{""UpdatedDesc"":{""range_id"":80,""start_key"":""9qw="",""end_key"":""9rc="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":7,""sticky_bit"":{}},""NewDesc"":{""range_id"":81,""start_key"":""9rc="",""end_key"":""//8="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":7,""sticky_bit"":{}},""Details"":""span config""}"	1084460940303073281
2025-06-27 10:58:25.689531	81	1	split	82	"{""UpdatedDesc"":{""range_id"":81,""start_key"":""9rc="",""end_key"":""9sI="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":8,""sticky_bit"":{}},""NewDesc"":{""range_id"":82,""start_key"":""9sI="",""end_key"":""//8="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":8,""sticky_bit"":{}},""Details"":""span config""}"	1084461893962792961
2025-06-27 10:58:37.719654	65	1	merge	80	"{""UpdatedDesc"":{""range_id"":65,""start_key"":""xw=="",""end_key"":""9rc="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":11,""sticky_bit"":{}},""RemovedDesc"":{""range_id"":80,""start_key"":""9qw="",""end_key"":""9rc="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":7,""sticky_bit"":{}}}"	1084461933394395137
2025-06-27 11:03:37.765867	65	1	merge	81	"{""UpdatedDesc"":{""range_id"":65,""start_key"":""xw=="",""end_key"":""9sI="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":12,""sticky_bit"":{}},""RemovedDesc"":{""range_id"":81,""start_key"":""9rc="",""end_key"":""9sI="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":8,""sticky_bit"":{}}}"	1084462916588666881
2025-06-27 12:13:43.409143	82	1	split	83	"{""UpdatedDesc"":{""range_id"":82,""start_key"":""9sI="",""end_key"":""9s0="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":9,""sticky_bit"":{}},""NewDesc"":{""range_id"":83,""start_key"":""9s0="",""end_key"":""//8="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":9,""sticky_bit"":{}},""Details"":""span config""}"	1084476697637978113
2025-06-27 19:42:37.780655	65	1	merge	82	"{""UpdatedDesc"":{""range_id"":65,""start_key"":""xw=="",""end_key"":""9s0="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":13,""sticky_bit"":{}},""RemovedDesc"":{""range_id"":82,""start_key"":""9sI="",""end_key"":""9s0="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":9,""sticky_bit"":{}}}"	1084564956171173889
2025-06-28 11:07:58.659805	83	1	split	84	"{""UpdatedDesc"":{""range_id"":83,""start_key"":""9s0="",""end_key"":""9tg="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":10,""sticky_bit"":{}},""NewDesc"":{""range_id"":84,""start_key"":""9tg="",""end_key"":""//8="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":10,""sticky_bit"":{}},""Details"":""span config""}"	1084746886981189633
2025-06-28 11:13:04.725102	65	1	merge	83	"{""UpdatedDesc"":{""range_id"":65,""start_key"":""xw=="",""end_key"":""9tg="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":14,""sticky_bit"":{}},""RemovedDesc"":{""range_id"":83,""start_key"":""9s0="",""end_key"":""9tg="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":10,""sticky_bit"":{}}}"	1084747889925193729
2025-06-28 14:10:04.046497	84	1	split	85	"{""UpdatedDesc"":{""range_id"":84,""start_key"":""9tg="",""end_key"":""9wFc"",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":11,""sticky_bit"":{}},""NewDesc"":{""range_id"":85,""start_key"":""9wFc"",""end_key"":""//8="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":11,""sticky_bit"":{}},""Details"":""span config""}"	1084782687249760257
2025-06-28 14:58:33.71069	65	1	merge	84	"{""UpdatedDesc"":{""range_id"":65,""start_key"":""xw=="",""end_key"":""9wFc"",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":15,""sticky_bit"":{}},""RemovedDesc"":{""range_id"":84,""start_key"":""9tg="",""end_key"":""9wFc"",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":11,""sticky_bit"":{}}}"	1084792221672013825
