job_id	job_type	description	statement	user_name	status	running_status	created	finished	modified	fraction_completed	high_water_timestamp	error	coordinator_id
1087819240539389953	AUTO CREATE STATS	Table statistics refresh for system.public.protected_ts_records	Table statistics refresh for system.public.protected_ts_records	node	succeeded	NULL	2025-07-09 07:34:46.590391+00	2025-07-09 07:34:46.843451+00	2025-07-09 07:34:46.843451+00	1	NULL		1
1087819241775857665	AUTO CREATE STATS	Table statistics refresh for system.public.span_stats_buckets	Table statistics refresh for system.public.span_stats_buckets	node	succeeded	NULL	2025-07-09 07:34:46.967734+00	2025-07-09 07:34:47.27146+00	2025-07-09 07:34:47.27146+00	1	NULL		1
1087819243171282945	AUTO CREATE STATS	Table statistics refresh for system.public.tenants	Table statistics refresh for system.public.tenants	node	succeeded	NULL	2025-07-09 07:34:47.393584+00	2025-07-09 07:34:47.737226+00	2025-07-09 07:34:47.737226+00	1	NULL		1
1087819244680609793	AUTO CREATE STATS	Table statistics refresh for system.public.tenant_usage	Table statistics refresh for system.public.tenant_usage	node	succeeded	NULL	2025-07-09 07:34:47.854198+00	2025-07-09 07:34:48.255479+00	2025-07-09 07:34:48.255479+00	1	NULL		1
1087819246265008129	AUTO CREATE STATS	Table statistics refresh for system.public.span_count	Table statistics refresh for system.public.span_count	node	succeeded	NULL	2025-07-09 07:34:48.337714+00	2025-07-09 07:34:48.575266+00	2025-07-09 07:34:48.575266+00	1	NULL		1
1087819247303131137	AUTO CREATE STATS	Table statistics refresh for system.public.settings	Table statistics refresh for system.public.settings	node	succeeded	NULL	2025-07-09 07:34:48.654531+00	2025-07-09 07:34:48.855582+00	2025-07-09 07:34:48.855582+00	1	NULL		1
1087819248202776577	AUTO CREATE STATS	Table statistics refresh for system.public.locations	Table statistics refresh for system.public.locations	node	succeeded	NULL	2025-07-09 07:34:48.929073+00	2025-07-09 07:34:49.179826+00	2025-07-09 07:34:49.179826+00	1	NULL		1
1087819249271504897	AUTO CREATE STATS	Table statistics refresh for system.public.statement_bundle_chunks	Table statistics refresh for system.public.statement_bundle_chunks	node	succeeded	NULL	2025-07-09 07:34:49.255226+00	2025-07-09 07:34:49.46428+00	2025-07-09 07:34:49.46428+00	1	NULL		1
1087819250174558209	AUTO CREATE STATS	Table statistics refresh for system.public.tenant_tasks	Table statistics refresh for system.public.tenant_tasks	node	succeeded	NULL	2025-07-09 07:34:49.530818+00	2025-07-09 07:34:49.822803+00	2025-07-09 07:34:49.822803+00	1	NULL		1
1087819251395166209	AUTO CREATE STATS	Table statistics refresh for system.public.transaction_execution_insights	Table statistics refresh for system.public.transaction_execution_insights	node	succeeded	NULL	2025-07-09 07:34:49.903312+00	2025-07-09 07:34:50.268136+00	2025-07-09 07:34:50.268136+00	1	NULL		1
1087819252811431937	AUTO CREATE STATS	Table statistics refresh for system.public.comments	Table statistics refresh for system.public.comments	node	succeeded	NULL	2025-07-09 07:34:50.335523+00	2025-07-09 07:34:50.55292+00	2025-07-09 07:34:50.55292+00	1	NULL		1
1087819253762359297	AUTO CREATE STATS	Table statistics refresh for system.public.replication_critical_localities	Table statistics refresh for system.public.replication_critical_localities	node	succeeded	NULL	2025-07-09 07:34:50.625727+00	2025-07-09 07:34:50.904506+00	2025-07-09 07:34:50.904506+00	1	NULL		1
1087819254909501441	AUTO CREATE STATS	Table statistics refresh for system.public.replication_stats	Table statistics refresh for system.public.replication_stats	node	succeeded	NULL	2025-07-09 07:34:50.975804+00	2025-07-09 07:34:51.245637+00	2025-07-09 07:34:51.245637+00	1	NULL		1
1087819256012144641	AUTO CREATE STATS	Table statistics refresh for system.public.sql_instances	Table statistics refresh for system.public.sql_instances	node	succeeded	NULL	2025-07-09 07:34:51.312304+00	2025-07-09 07:34:51.57788+00	2025-07-09 07:34:51.57788+00	1	NULL		1
1087819257153257473	AUTO CREATE STATS	Table statistics refresh for system.public.migrations	Table statistics refresh for system.public.migrations	node	succeeded	NULL	2025-07-09 07:34:51.660546+00	2025-07-09 07:34:51.956239+00	2025-07-09 07:34:51.956239+00	1	NULL		1
1087819258494615553	AUTO CREATE STATS	Table statistics refresh for system.public.statement_diagnostics	Table statistics refresh for system.public.statement_diagnostics	node	succeeded	NULL	2025-07-09 07:34:52.0699+00	2025-07-09 07:34:52.381864+00	2025-07-09 07:34:52.381864+00	1	NULL		1
1087819259808677889	AUTO CREATE STATS	Table statistics refresh for system.public.task_payloads	Table statistics refresh for system.public.task_payloads	node	succeeded	NULL	2025-07-09 07:34:52.470916+00	2025-07-09 07:34:52.848835+00	2025-07-09 07:34:52.848835+00	1	NULL		1
1087819261306011649	AUTO CREATE STATS	Table statistics refresh for system.public.tenant_id_seq	Table statistics refresh for system.public.tenant_id_seq	node	succeeded	NULL	2025-07-09 07:34:52.927865+00	2025-07-09 07:34:53.157979+00	2025-07-09 07:34:53.157979+00	1	NULL		1
1087819262325850113	AUTO CREATE STATS	Table statistics refresh for system.public.sqlliveness	Table statistics refresh for system.public.sqlliveness	node	succeeded	NULL	2025-07-09 07:34:53.23909+00	2025-07-09 07:34:53.476972+00	2025-07-09 07:34:53.476972+00	1	NULL		1
1087819263365218305	AUTO CREATE STATS	Table statistics refresh for system.public.protected_ts_meta	Table statistics refresh for system.public.protected_ts_meta	node	succeeded	NULL	2025-07-09 07:34:53.55629+00	2025-07-09 07:34:53.761559+00	2025-07-09 07:34:53.761559+00	1	NULL		1
1087819264297369601	AUTO CREATE STATS	Table statistics refresh for system.public.table_metadata	Table statistics refresh for system.public.table_metadata	node	succeeded	NULL	2025-07-09 07:34:53.840761+00	2025-07-09 07:34:54.213007+00	2025-07-09 07:34:54.213007+00	1	NULL		1
1087819265789034497	AUTO CREATE STATS	Table statistics refresh for system.public.ui	Table statistics refresh for system.public.ui	node	succeeded	NULL	2025-07-09 07:34:54.29598+00	2025-07-09 07:34:54.572926+00	2025-07-09 07:34:54.572926+00	1	NULL		1
1087819267068100609	AUTO CREATE STATS	Table statistics refresh for system.public.reports_meta	Table statistics refresh for system.public.reports_meta	node	succeeded	NULL	2025-07-09 07:34:54.68632+00	2025-07-09 07:34:55.0125+00	2025-07-09 07:34:55.0125+00	1	NULL		1
1087819268510384129	AUTO CREATE STATS	Table statistics refresh for system.public.statement_execution_insights	Table statistics refresh for system.public.statement_execution_insights	node	succeeded	NULL	2025-07-09 07:34:55.126469+00	2025-07-09 07:34:55.762188+00	2025-07-09 07:34:55.762188+00	1	NULL		1
1087819270964936705	AUTO CREATE STATS	Table statistics refresh for ycsb.public.usertable	Table statistics refresh for ycsb.public.usertable	node	succeeded	NULL	2025-07-09 07:34:55.875531+00	2025-07-09 07:34:56.23363+00	2025-07-09 07:34:56.23363+00	1	NULL		1
1087819272399323137	AUTO CREATE STATS	Table statistics refresh for system.public.job_info	Table statistics refresh for system.public.job_info	node	succeeded	NULL	2025-07-09 07:34:56.313278+00	2025-07-09 07:34:56.565127+00	2025-07-09 07:34:56.565127+00	1	NULL		1
1087819273517334529	AUTO CREATE STATS	Table statistics refresh for system.public.tenant_settings	Table statistics refresh for system.public.tenant_settings	node	succeeded	NULL	2025-07-09 07:34:56.654463+00	2025-07-09 07:34:56.979937+00	2025-07-09 07:34:56.979937+00	1	NULL		1
