id	status	created	created_by_type	created_by_id	claim_session_id	claim_instance_id	num_runs	last_run	job_type	owner	description	error_msg	finished
1087819030728048641	succeeded	2025-07-09 07:33:42.561051	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	MIGRATION	node	"Upgrade to 1000025.2-upgrading-to-1000025.3-step-006: ""add 'estimated_last_login_time' column to system.users table"""	NULL	2025-07-09 07:33:43.061139+00
1087819031065493505	succeeded	2025-07-09 07:33:42.662537	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	SCHEMA CHANGE	node	ALTER TABLE system.public.users ADD COLUMN IF NOT EXISTS estimated_last_login_time TIMESTAMPTZ CREATE IF NOT EXISTS FAMILY fam_5_estimated_last_login_time	NULL	2025-07-09 07:33:42.951354+00
1087819097911328769	succeeded	2025-07-09 07:34:02.952944	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	NEW SCHEMA CHANGE	root	DROP DATABASE tpcc CASCADE	NULL	2025-07-09 07:34:03.402223+00
1087819098781712385	succeeded	2025-07-09 07:34:03.322543	NULL	NULL	\x0101802373698ce8e0452d87c292ab1efb4de9	1	NULL	NULL	SCHEMA CHANGE GC	node	GC for DROP DATABASE tpcc CASCADE	NULL	2025-07-09 11:37:01.440277+00
1087819226987069441	succeeded	2025-07-09 07:34:42.454581	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.privileges	NULL	2025-07-09 07:34:42.731055+00
1087819228190769153	succeeded	2025-07-09 07:34:42.821892	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.span_stats_unique_keys	NULL	2025-07-09 07:34:43.061657+00
1087819229228072961	succeeded	2025-07-09 07:34:43.138457	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.join_tokens	NULL	2025-07-09 07:34:43.373736+00
1087819230282743809	succeeded	2025-07-09 07:34:43.46032	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.span_stats_samples	NULL	2025-07-09 07:34:43.690786+00
1087819231315001345	succeeded	2025-07-09 07:34:43.775342	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.span_stats_tenant_boundaries	NULL	2025-07-09 07:34:43.986139+00
1087819232267730945	succeeded	2025-07-09 07:34:44.066084	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.job_progress_history	NULL	2025-07-09 07:34:44.297527+00
1087819233224687617	succeeded	2025-07-09 07:34:44.358127	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.role_members	NULL	2025-07-09 07:34:44.592526+00
1087819234244886529	succeeded	2025-07-09 07:34:44.669468	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.replication_constraint_stats	NULL	2025-07-09 07:34:44.935754+00
