store_id	name	value
NULL	jobs.logical_replication.currently_paused	0
NULL	changefeed.stage.kv_feed_wait_for_table_event.latency-p90	0
NULL	distsender.circuit_breaker.replicas.tripped_events	0
NULL	jobs.import.resume_completed	4
NULL	distsender.rpc.err.transactionpusherrtype	1
NULL	sql.insert.count.internal	10889
NULL	kv.prober.write.latency-max	0
NULL	jobs.create_stats.protected_age_sec	0
NULL	changefeed.buffer_pushback_nanos	0
NULL	sql.distsql.exec.latency-p90	0
NULL	sql.hydrated_schema_cache.hits	0
NULL	changefeed.flush.messages_pushback_nanos	0
NULL	gossip.callbacks.processing_duration-p75	0
NULL	admission.wait_durations.elastic-cpu.normal-pri-p99.9	0
NULL	timeseries.write.bytes	9.99848261e+08
NULL	jobs.auto_config_runner.resume_failed	0
NULL	jobs.update_table_metadata_cache.expired_pts_records	0
NULL	admission.requested.sql-sql-response.normal-pri	0
NULL	admission.wait_durations.kv.bulk-normal-pri-max	0
NULL	admission.wait_durations.kv-sum	1.32667496e+08
NULL	sql.stats.flush.done_signals.ignored	0
NULL	changefeed.buffer_entries.resolved.aggregator	0
NULL	jobs.schema_change_gc.resume_retry_error	2
NULL	sql.service.latency.consistent-count	9.444339e+06
