store_id	name	value
NULL	jobs.key_visualizer.expired_pts_records	0
NULL	physical_replication.admit_latency-avg	0
NULL	sql.vecindex.pending_splits_merges	0
NULL	jobs.hot_ranges_logger.protected_age_sec	0
NULL	jobs.auto_sql_stats_compaction.currently_idle	0
NULL	admission.wait_durations.elastic-cpu.bulk-low-pri-p99.999	0
NULL	raft.loaded_entries.reserved.bytes	0
NULL	sql.service.latency.internal-p99.999	3.769390975388353e+08
NULL	sql.ddl.started.count.internal	184
NULL	jobs.replication_stream_ingestion.expired_pts_records	0
NULL	jobs.changefeed.fail_or_cancel_failed	0
NULL	txn.restarts.serializable	1
NULL	changefeed.stage.kv_feed_buffer.latency-max	0
NULL	admission.requested.sql-kv-response.normal-pri	225151
NULL	changefeed.parallel_io_in_flight_keys	0
NULL	sql.exec.latency-count	351592
NULL	changefeed.checkpoint.timestamp_count-p99.9	0
NULL	sql.mem.sql.max-p99	8000
NULL	sql.txn.commit_prepared.count.internal	0
NULL	changefeed.stage.checkpoint_job_progress.latency-max	0
NULL	sql.txn.latency-p99.999	1.1689518164985757e+08
NULL	distsender.rpc.adminrelocaterange.sent	0
NULL	changefeed.admit_latency-p75	0
NULL	sql.query.started.count.internal	40064
NULL	admission.granter.cpu_load_long_period_duration.kv	0
NULL	jobs.auto_config_env_runner.protected_record_count	0
NULL	changefeed.checkpoint.create_nanos-sum	0
NULL	jobs.running_non_idle	-6
NULL	changefeed.stage.emit_row.latency-sum	0
NULL	rpc.method.isspanempty.recv	546
NULL	sql.pgwire.pipeline.count	139
NULL	changefeed.sink_io_inflight	0
NULL	txn.durations-p75	9.716013165560968e+06
NULL	jobs.auto_config_runner.currently_paused	0
NULL	distsender.rpc.err.nodeunavailableerrtype	0
NULL	jobs.logical_replication.currently_idle	0
NULL	distsender.rpc.err.internalerrtype	657
NULL	logical_replication.commit_latency-p50	0
NULL	kv.prober.write.latency-p99.99	0
NULL	storeliveness.transport.send_dropped	0
NULL	admission.wait_durations.elastic-cpu-p99.999	0
NULL	sql.disk.distsql.max-p99.9	0
NULL	sql.distsql.select.count	12866
NULL	jobs.sql_activity_flush.currently_idle	0
NULL	changefeed.buffer_entries_mem.released.rangefeed	0
NULL	changefeed.checkpoint.span_count-p90	0
NULL	admission.admitted.kv.locking-normal-pri	291603
NULL	auth.scram.conn.latency-p99.9	0
NULL	round-trip-latency-p99.9	1.1242100350620849e+07
NULL	changefeed.flush_hist_nanos-p75	0
NULL	changefeed.checkpoint.total_bytes-p50	0
NULL	sql.distsql.dist_query_rerun_locally.count	0
NULL	sql.mem.sql.session.prepared.max-p99.99	8000
NULL	logical_replication.commit_latency-p75	0
NULL	jobs.schema_change.protected_age_sec	0
NULL	changefeed.buffer_entries.released.rangefeed	0
NULL	auth.cert.conn.latency-sum	0
NULL	sql.mem.conns.max-avg	0
NULL	sys.cgo.totalbytes	1.961984e+08
NULL	admission.wait_durations.elastic-cpu.normal-pri-sum	0
NULL	exec.latency-count	1.32048e+06
NULL	jobs.restore.currently_idle	0
NULL	distsender.circuit_breaker.replicas.probes.running	0
NULL	sys.host.net.recv.err	0
NULL	txn.restarts-p99.99	0
NULL	admission.wait_durations.kv.high-pri-max	10000
NULL	admission.wait_durations.sql-sql-response-sum	0
NULL	auth.scram.conn.latency-p50	0
NULL	changefeed.checkpoint_hist_nanos-p75	0
NULL	sql.crud_query.count	351534
NULL	sql.mem.internal.txn.max-max	8000
NULL	jobs.auto_create_partial_stats.fail_or_cancel_retry_error	0
NULL	changefeed.flushes	0
NULL	changefeed.parallel_io_result_queue_nanos-p99.99	0
NULL	sql.exec.latency.historical.internal-p99.9	3.769390975388353e+08
NULL	exec.latency-sum	4.595239494308e+12
NULL	jobs.auto_update_sql_activity.currently_running	1
NULL	admission.wait_durations.kv.locking-normal-pri-count	291603
NULL	sql.stats.txn_stats_collection.duration-p99	11507.704016767417
NULL	sql.misc.started.count.internal	94
NULL	physical_replication.logical_bytes	0
NULL	distsender.rpc.adminsplit.sent	11
NULL	admission.errored.sql-kv-response.normal-pri	0
NULL	sql.stats.activity.update.latency-p99.9	0
NULL	txn.durations-p99.99	1.8671810912919158e+08
NULL	rpc.connection.heartbeats	47910
NULL	sql.mem.sql.session.prepared.max-p99.999	8000
NULL	admission.elastic_cpu.over_limit_durations-p75	0
NULL	admission.wait_durations.sql-kv-response-p75	7500.417710944026
NULL	cloud.tls_handshakes	0
NULL	distsender.batches.async.sent	366879
NULL	changefeed.stage.rangefeed_buffer_checkpoint.latency-p99.999	0
NULL	sql.leases.long_wait_for_no_version	0
NULL	distsender.rpc.heartbeattxn.sent	37
NULL	changefeed.kafka_throttling_hist_nanos-sum	0
NULL	jobs.auto_span_config_reconciliation.fail_or_cancel_retry_error	0
NULL	admission.wait_durations.sql-sql-response.locking-normal-pri-p99.9	0
NULL	admission.wait_durations.sql-kv-response.user-high-pri-avg	0
NULL	gossip.messages.received	0
NULL	sql.service.latency.consistent-avg	1.0899699649548532e+07
NULL	jobs.row_level_ttl.select_duration-p99.99	0
NULL	sql.txn.latency-p99	4.620592711362482e+07
NULL	storeliveness.transport.received	47984
NULL	sql.service.latency.internal-p50	163537.22186926063
NULL	schedules.scheduled-row-level-ttl-executor.failed	0
NULL	admission.wait_durations.sql-sql-response.locking-normal-pri-p99.99	0
NULL	admission.wait_durations.kv.normal-pri-max	10000
NULL	changefeed.emitted_bytes	0
NULL	jobs.key_visualizer.resume_failed	0
NULL	sql.txn.latency-p50	8.322237053508685e+06
NULL	jobs.typedesc_schema_change.currently_idle	0
NULL	jobs.auto_update_sql_activity.fail_or_cancel_completed	0
NULL	rpc.method.get.recv	639318
NULL	tenant.consumption.external_io_egress_bytes	0
NULL	admission.wait_durations.kv.normal-pri-avg	0
NULL	admission.wait_durations.sql-kv-response-count	574676
NULL	jobs.poll_jobs_stats.currently_paused	0
NULL	changefeed.stage.encode.latency-p90	0
NULL	jobs.logical_replication.resume_completed	0
NULL	physical_replication.commit_latency-p99	0
NULL	admission.elastic_cpu.over_limit_durations-p99.999	0
NULL	gossip.callbacks.pending_duration-p99	0
NULL	gossip.bytes.sent	0
NULL	sql.mem.bulk.max-p90	0
NULL	sql.statements.active	0
NULL	jobs.auto_schema_telemetry.fail_or_cancel_failed	0
NULL	txn.durations-p50	8.195507485304715e+06
NULL	sql.mem.conns.max-sum	0
NULL	sql.crud_query.started.count.internal	39601
NULL	txn.count_limit_rejected	0
NULL	changefeed.checkpoint.span_count-count	0
NULL	admission.wait_durations.sql-kv-response.user-high-pri-count	45875
NULL	sql.temp_object_cleaner.schemas_to_delete	0
NULL	sql.statement_timeout.count.internal	0
NULL	jobs.import.fail_or_cancel_completed	0
NULL	jobs.create_stats.currently_paused	0
NULL	changefeed.stage.kv_feed_wait_for_table_event.latency-p90	0
NULL	sql.service.latency-count	351592
NULL	distsender.rangefeed.catchup_ranges	0
NULL	rpc.method.migrate.recv	0
NULL	jobs.auto_config_runner.fail_or_cancel_retry_error	0
NULL	sql.mem.bulk.max-p75	0
NULL	sql.mem.sql.txn.max-count	140868
NULL	jobs.typedesc_schema_change.fail_or_cancel_failed	0
NULL	sql.restart_savepoint.release.count.internal	0
NULL	sql.pre_serve.mem.max-p99	0
NULL	jobs.import.currently_paused	0
NULL	jobs.auto_config_task.expired_pts_records	0
NULL	sql.exec.latency.internal-p99.9	1.4773776525985083e+08
NULL	sys.host.net.recv.drop	0
NULL	admission.wait_durations.kv.locking-normal-pri-p99.9	9989.863152559554
NULL	jobs.replication_stream_ingestion.resume_completed	0
NULL	jobs.sql_activity_flush.resume_retry_error	0
NULL	auth.password.conn.latency-max	0
NULL	sqlliveness.is_alive.cache_hits	14908
NULL	changefeed.buffer_entries.allocated_mem	0
NULL	sql.service.latency.consistent.internal-p99.99	1.1689518164985757e+08
NULL	sys.cgocalls	2.9005527e+07
NULL	jobs.logical_replication.fail_or_cancel_failed	0
NULL	sql.stats.mem.max-p99.999	0
NULL	rpc.method.queryresolvedtimestamp.recv	0
NULL	kvflowcontrol.tokens.eval.elastic.deducted	2.66639102e+08
NULL	rpc.method.queryintent.recv	161077
NULL	admission.wait_durations.kv.user-high-pri-p99.99	0
NULL	jobs.schema_change.currently_paused	0
NULL	sql.stats.activity.updates.failed	0
NULL	changefeed.nprocs_flush_nanos-max	0
